,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
56,1,1,1,2.0,3,1,3,0,2.0
57,1,3,0,1.0,2,1,1,1,3.0
58,1,3,1,0.0,2,0,2,0,0.0
59,0,3,0,0.0,1,0,1,1,0.0
60,0,3,0,1.0,1,0,1,1,3.0
61,1,3,1,1.0,2,0,3,0,3.0
62,0,3,0,2.0,0,0,1,1,6.0
63,0,1,0,,3,0,1,1,
64,1,3,1,2.0,2,0,3,0,6.0
65,0,3,1,2.0,3,0,3,0,6.0
66,0,3,0,1.0,0,0,1,1,3.0
67,0,3,1,,3,0,2,0,
68,0,3,0,3.0,0,0,1,1,9.0
69,1,2,1,2.0,2,0,3,0,4.0
70,0,2,0,1.0,1,0,1,1,2.0
71,1,3,1,,2,2,2,0,
72,1,1,1,2.0,3,0,3,0,2.0
73,1,2,1,1.0,3,0,2,0,2.0
74,0,2,0,3.0,1,0,5,1,6.0
75,1,1,1,3.0,3,1,3,0,3.0
76,0,3,0,1.0,2,0,1,0,3.0
77,0,3,0,0.0,2,1,1,1,0.0
78,1,3,0,0.0,1,1,4,0,0.0
79,0,2,0,2.0,1,0,1,1,4.0
80,0,2,0,1.0,1,0,5,1,2.0
81,0,3,1,0.0,2,0,2,0,0.0
82,0,3,0,2.0,0,0,1,1,6.0
83,0,1,0,3.0,3,1,1,0,3.0
84,1,2,1,2.0,3,0,3,0,4.0
85,0,2,0,2.0,1,0,1,1,4.0
86,1,1,1,,3,1,3,0,
87,0,1,0,2.0,3,0,1,0,2.0
88,1,1,0,3.0,3,1,1,0,3.0
89,0,1,0,2.0,2,0,1,1,2.0
90,0,1,0,,2,1,1,1,
91,0,1,0,3.0,2,0,1,1,3.0
92,0,3,0,1.0,0,0,1,1,3.0
93,0,1,1,1.0,3,0,3,0,1.0
94,0,3,0,,0,1,1,1,
95,1,2,1,0.0,2,0,2,0,0.0
96,0,2,0,2.0,1,0,1,1,4.0
97,1,1,0,,2,1,1,1,
98,0,3,0,0.0,2,0,1,0,0.0
99,0,3,0,1.0,0,0,1,1,3.0
100,1,3,1,,2,2,2,0,
101,1,1,0,2.0,2,1,1,1,2.0
102,0,1,0,3.0,3,0,1,1,3.0
103,0,3,0,,3,0,1,1,
104,0,3,0,,2,0,1,0,
105,1,3,1,0.0,1,0,2,1,0.0
106,0,3,0,1.0,3,0,1,1,3.0
107,1,2,0,1.0,1,0,1,1,2.0
108,0,3,1,,2,1,2,0,
109,1,1,1,1.0,3,0,2,1,1.0
110,1,1,1,1.0,3,1,2,0,1.0
111,0,3,0,,0,2,1,1,
112,0,2,0,2.0,2,1,1,0,4.0
113,0,3,0,,0,0,1,1,
114,1,1,1,3.0,2,0,5,1,3.0
115,0,3,0,2.0,3,0,1,0,6.0
116,1,3,1,0.0,0,1,2,1,0.0
117,1,2,1,0.0,3,1,2,0,0.0
118,0,3,0,1.0,0,0,1,1,3.0
119,1,1,1,1.0,3,0,2,1,1.0
120,0,3,1,0.0,3,0,2,0,0.0
121,0,3,0,,0,0,1,1,
122,1,1,1,2.0,2,1,3,1,2.0
123,0,3,0,2.0,1,0,1,0,6.0
124,1,1,1,2.0,3,0,2,1,2.0
125,1,1,0,2.0,3,0,1,0,2.0
126,0,3,1,,3,0,2,0,
127,0,3,0,1.0,0,1,1,1,3.0
128,0,2,0,2.0,1,0,1,1,4.0
129,0,3,0,1.0,0,1,1,1,3.0
130,1,3,0,1.0,0,0,1,1,3.0
131,0,3,0,1.0,0,0,1,1,3.0
132,0,2,0,1.0,1,0,1,1,2.0
133,1,3,1,1.0,0,0,2,1,3.0
134,1,2,0,0.0,2,0,4,0,0.0
135,0,3,0,0.0,2,2,4,0,0.0
136,0,3,0,1.0,2,0,1,1,3.0
137,1,3,1,0.0,2,1,3,0,0.0
138,1,1,1,3.0,3,1,2,0,3.0
139,1,1,0,2.0,3,0,1,0,2.0
140,0,3,1,2.0,2,0,3,0,6.0
141,0,3,0,1.0,1,0,1,1,3.0
142,0,3,1,1.0,0,2,2,1,3.0
143,1,1,1,2.0,3,0,2,0,2.0
144,0,1,0,2.0,0,0,5,1,2.0
145,1,1,0,,2,0,1,1,
146,1,1,1,2.0,3,1,2,1,2.0
147,0,3,0,,1,0,1,1,
148,1,1,1,0.0,3,0,2,0,0.0
149,0,3,1,1.0,2,0,3,0,3.0
150,0,1,0,2.0,0,0,1,1,2.0
151,0,3,0,2.0,1,0,1,1,6.0
152,1,2,1,3.0,2,0,3,1,6.0
153,1,2,1,2.0,1,0,3,1,4.0
154,1,1,1,2.0,3,0,3,0,2.0
155,0,3,0,1.0,0,0,1,1,3.0
156,1,2,1,0.0,2,0,2,0,0.0
157,0,3,1,2.0,3,0,3,0,6.0
158,0,3,1,1.0,1,0,2,1,3.0
159,1,3,0,1.0,0,2,1,1,3.0
160,1,3,1,,2,2,2,0,
161,1,3,1,2.0,3,0,3,0,6.0
162,1,3,1,,0,2,2,1,
163,0,3,0,2.0,1,0,1,1,6.0
164,0,2,1,1.0,2,0,3,0,2.0
165,1,2,1,2.0,2,0,3,0,4.0
166,1,3,1,0.0,2,1,2,0,0.0
167,1,1,0,0.0,3,0,4,0,0.0
168,1,3,0,2.0,1,0,1,1,6.0
169,1,1,0,1.0,3,0,1,0,1.0
170,0,1,0,2.0,0,0,1,1,2.0
171,0,3,0,1.0,0,0,1,1,3.0
172,0,3,1,2.0,2,1,3,0,6.0
173,0,2,0,1.0,2,0,1,1,2.0
174,0,2,1,1.0,1,0,2,1,2.0
175,1,3,1,,0,2,2,1,
176,1,1,1,1.0,3,0,2,0,1.0
177,1,1,1,1.0,2,0,2,0,1.0
178,0,3,0,2.0,0,1,1,1,6.0
179,0,3,0,1.0,1,0,1,1,3.0
180,0,2,0,1.0,1,0,1,1,2.0
181,0,3,0,1.0,0,0,1,1,3.0
182,0,2,0,,0,0,1,1,
183,1,3,0,1.0,3,0,1,1,3.0
184,0,3,0,,3,0,1,0,
185,0,3,0,,2,2,1,0,
186,1,3,1,0.0,0,2,2,1,0.0
187,1,2,0,,1,1,1,1,
188,0,3,0,,0,0,1,1,
189,1,2,0,0.0,2,0,4,0,0.0
190,0,3,0,1.0,0,0,1,1,3.0
191,0,3,1,1.0,2,1,2,1,3.0
192,1,3,0,1.0,0,0,1,1,3.0
193,0,3,0,1.0,1,0,1,1,3.0
194,0,3,0,,1,0,1,1,
195,1,1,1,1.0,3,1,2,1,1.0
196,0,3,0,2.0,0,1,1,1,6.0
197,0,3,0,1.0,1,0,1,1,3.0
198,0,3,0,1.0,1,0,1,0,3.0
199,1,1,1,,3,0,3,0,
200,0,3,0,2.0,0,0,1,1,6.0
201,0,3,1,,2,1,3,0,
202,0,1,0,2.0,3,0,1,1,2.0
203,0,3,0,,2,0,1,0,
204,1,2,1,1.0,1,1,3,1,2.0
205,0,1,0,1.0,3,1,1,0,1.0
206,1,1,0,1.0,3,1,1,0,1.0
207,0,3,0,,0,0,1,1,
208,0,3,0,3.0,0,0,1,1,9.0
209,0,1,0,2.0,3,0,1,1,2.0
210,0,2,0,1.0,1,0,1,1,2.0
211,0,3,1,,2,0,2,0,
212,0,3,0,1.0,0,0,1,1,3.0
213,1,2,1,3.0,2,0,3,0,6.0
214,0,3,0,0.0,3,0,1,0,0.0
215,0,3,0,1.0,0,0,1,1,3.0
216,1,1,0,1.0,3,0,1,0,1.0
217,0,2,0,0.0,2,0,1,1,0.0
218,0,3,0,3.0,0,0,1,1,9.0
219,0,3,0,2.0,1,0,1,1,6.0
220,0,3,0,1.0,0,0,1,1,3.0
221,1,2,1,1.0,1,1,2,1,2.0
222,0,3,1,,1,2,2,1,
223,1,3,0,,1,0,1,1,
224,0,1,0,2.0,2,0,1,1,2.0
225,0,3,0,,2,2,1,1,
226,0,3,0,,2,0,1,1,
227,1,1,1,1.0,3,0,2,0,1.0
228,0,2,0,1.0,3,0,1,1,2.0
229,0,3,0,,0,1,1,1,
230,0,3,0,1.0,0,0,1,1,3.0
231,1,1,0,1.0,3,1,1,0,1.0
232,0,3,0,,3,0,1,0,
233,1,3,0,0.0,2,0,4,0,0.0
234,0,3,0,2.0,2,0,1,0,6.0
235,0,1,0,3.0,2,0,5,1,3.0
236,0,1,0,,3,1,5,1,
237,1,1,0,1.0,3,1,1,1,1.0
238,0,1,0,,2,0,1,1,
239,1,1,0,2.0,2,0,1,1,2.0
240,0,3,0,2.0,0,0,1,1,6.0
241,0,3,0,1.0,0,0,1,0,3.0
242,0,3,0,2.0,0,1,1,1,6.0
243,0,1,0,65.0,2,0,1,1,65.0
244,0,3,1,1.0,2,0,3,0,3.0
245,1,2,0,0.0,3,0,4,0,0.0
246,1,3,0,1.0,0,0,1,1,3.0
247,0,2,0,1.0,1,0,1,1,2.0
248,0,3,0,0.0,3,0,4,0,0.0
249,0,3,0,2.0,1,0,1,0,6.0
250,0,3,0,1.0,0,0,1,1,3.0
251,0,2,0,3.0,3,0,1,0,6.0
252,0,3,0,1.0,1,0,1,1,3.0
253,1,1,1,1.0,3,1,2,0,1.0
254,1,3,1,1.0,1,0,3,1,3.0
255,1,3,0,0.0,2,0,4,0,0.0
256,0,3,0,1.0,2,0,1,1,3.0
257,0,3,1,0.0,0,0,2,1,0.0
258,0,2,0,1.0,2,0,1,0,2.0
259,0,3,0,,2,2,1,0,
260,0,3,0,0.0,3,0,1,0,0.0
261,0,2,0,1.0,1,0,1,1,2.0
262,1,2,1,0.0,2,0,2,0,0.0
263,0,3,0,1.0,0,0,1,1,3.0
264,0,3,0,1.0,0,0,1,1,3.0
265,0,2,0,2.0,2,0,1,0,4.0
266,0,2,0,1.0,1,0,1,1,2.0
267,1,1,1,2.0,3,1,2,1,2.0
268,0,3,0,0.0,3,0,4,0,0.0
269,0,3,0,1.0,1,0,1,0,3.0
270,1,3,1,1.0,1,0,3,0,3.0
271,0,3,0,1.0,0,0,1,1,3.0
272,0,3,1,1.0,0,0,2,1,3.0
273,0,3,0,1.0,0,0,1,1,3.0
274,0,3,1,2.0,3,0,3,0,6.0
275,0,3,1,,1,0,2,1,
276,0,3,0,,1,2,1,1,
277,1,1,1,3.0,3,0,2,0,3.0
278,0,3,0,,0,0,1,1,
279,0,3,0,,2,0,1,0,
280,1,2,1,1.0,1,0,3,1,2.0
281,0,1,0,3.0,3,0,1,0,3.0
282,0,3,0,1.0,0,0,1,0,3.0
283,1,1,0,1.0,2,1,5,1,1.0
284,0,1,0,,3,0,1,1,
285,0,3,1,1.0,1,0,2,1,3.0
286,0,3,0,1.0,0,0,1,1,3.0
287,0,2,0,2.0,2,0,1,0,4.0
288,1,3,0,1.0,2,1,1,0,3.0
289,1,2,0,2.0,1,0,1,1,4.0
290,1,2,1,1.0,2,0,2,0,2.0
291,0,3,0,0.0,2,0,4,0,0.0
292,0,1,0,1.0,3,0,1,0,1.0
293,0,3,0,1.0,0,0,1,1,3.0
294,0,3,0,,0,1,1,1,
295,0,1,0,,2,0,1,1,
296,0,3,0,,0,2,1,1,
297,0,3,0,2.0,1,0,1,1,6.0
298,0,1,0,1.0,3,0,1,1,1.0
299,1,2,1,1.0,2,0,3,0,2.0
300,1,2,1,2.0,1,0,3,1,4.0
301,0,3,0,,0,2,1,1,
302,1,1,1,2.0,3,1,3,0,2.0
303,0,1,0,3.0,2,0,1,1,3.0
304,0,2,0,2.0,1,0,1,1,4.0
305,1,2,1,0.0,2,0,2,0,0.0
306,0,3,0,0.0,2,0,4,0,0.0
307,1,3,1,0.0,0,2,2,1,0.0
308,1,3,1,1.0,2,0,3,0,3.0
309,0,1,0,1.0,3,0,1,0,1.0
310,0,3,0,0.0,3,0,4,0,0.0
311,0,3,0,1.0,0,1,1,1,3.0
312,1,1,0,2.0,2,0,1,1,2.0
313,0,1,0,,3,0,1,1,
314,1,2,1,1.0,2,0,3,0,2.0
315,0,3,0,2.0,1,0,1,0,6.0
316,1,1,0,2.0,2,0,1,1,2.0
317,0,2,0,2.0,1,0,1,1,4.0
318,0,3,0,1.0,0,0,1,1,3.0
319,1,1,0,2.0,3,0,1,0,2.0
320,1,2,1,0.0,2,0,2,0,0.0
321,0,3,0,1.0,0,2,1,1,3.0
322,0,2,0,2.0,1,0,1,1,4.0
323,0,3,0,1.0,1,0,1,1,3.0
324,0,2,0,1.0,3,1,1,0,2.0
325,1,1,1,3.0,2,0,2,1,3.0
326,1,3,1,0.0,2,0,2,0,0.0
327,0,3,0,2.0,2,0,1,0,6.0
328,1,3,1,,2,1,2,0,
329,0,1,0,3.0,3,1,1,0,3.0
330,0,1,0,2.0,3,0,1,0,2.0
331,0,3,0,2.0,2,0,1,0,6.0
332,0,2,0,2.0,2,0,1,0,4.0
333,0,3,1,2.0,3,0,3,0,6.0
334,0,1,1,3.0,2,1,2,1,3.0
335,0,3,0,0.0,2,2,4,0,0.0
336,1,2,1,1.0,1,1,2,0,2.0
337,1,3,0,,3,0,1,1,
338,0,1,0,1.0,3,1,1,0,1.0
339,0,3,0,1.0,0,0,1,1,3.0
340,1,2,1,3.0,1,0,2,1,6.0
341,1,1,1,1.0,3,0,2,0,1.0
342,0,2,0,2.0,1,0,5,1,4.0
343,0,3,0,,0,1,1,1,
344,0,2,0,2.0,1,1,1,1,4.0
345,0,2,0,1.0,2,1,1,1,2.0
346,0,3,0,,0,0,1,1,
347,0,3,1,1.0,1,0,2,1,3.0
348,0,2,0,2.0,2,0,1,0,4.0
349,0,3,0,,0,1,1,1,
350,0,2,0,70.0,1,0,1,1,140.0
351,1,3,1,1.0,1,0,2,0,3.0
352,1,2,1,2.0,2,0,3,0,4.0
353,0,3,0,3.0,1,0,1,1,9.0
354,1,1,1,3.0,3,1,2,1,3.0
355,0,1,1,0.0,3,0,2,0,0.0
356,0,3,1,,1,0,3,1,
357,0,3,0,1.0,0,0,1,1,3.0
358,1,3,1,0.0,3,0,2,0,0.0
359,0,1,0,2.0,2,1,5,1,2.0
360,0,3,0,1.0,1,0,1,1,3.0
361,0,3,0,1.0,1,0,1,1,3.0
362,0,3,0,0.0,0,0,1,1,0.0
363,0,2,0,1.0,1,0,1,1,2.0
364,0,3,0,1.0,1,0,1,1,3.0
365,0,3,0,2.0,1,0,1,1,6.0
366,0,3,0,,0,2,1,1,
367,0,3,1,0.0,3,0,2,0,0.0
368,0,1,0,3.0,2,0,1,1,3.0
369,1,3,0,0.0,1,0,4,0,0.0
370,1,3,1,0.0,1,1,2,0,0.0
371,1,2,1,2.0,1,0,3,1,4.0
372,0,3,0,2.0,1,1,1,1,6.0
373,1,2,1,1.0,2,0,3,0,2.0
374,0,3,0,1.0,0,1,1,1,3.0
375,1,1,1,3.0,3,1,3,0,3.0
376,1,3,0,1.0,0,0,1,1,3.0
377,0,3,0,,0,0,1,1,
378,0,3,1,1.0,1,0,2,0,3.0
379,0,3,0,2.0,2,0,1,1,6.0
380,0,3,0,,0,0,1,1,
381,1,2,1,2.0,2,0,3,0,4.0
382,0,2,0,,0,0,1,1,
383,1,2,1,1.0,1,0,3,1,2.0
384,0,3,0,,0,2,1,0,
385,1,1,0,2.0,3,1,1,0,2.0
386,0,1,0,65.0,3,1,1,0,65.0
387,1,2,1,1.0,2,0,3,0,2.0
388,0,3,0,1.0,2,0,1,0,3.0
389,0,1,0,1.0,3,0,1,0,1.0
390,1,2,1,2.0,3,0,3,0,4.0
391,0,3,0,2.0,1,0,1,1,6.0
392,0,2,0,3.0,1,0,1,1,6.0
393,0,3,0,1.0,0,0,1,1,3.0
394,0,1,0,1.0,3,0,1,0,1.0
395,0,2,0,2.0,2,0,1,0,4.0
396,0,1,0,3.0,3,1,1,0,3.0
397,0,3,1,1.0,2,2,3,0,3.0
398,0,2,0,,0,0,1,1,
399,1,3,1,1.0,1,0,2,1,3.0
400,0,3,0,2.0,2,0,1,0,6.0
401,1,1,1,2.0,3,1,3,0,2.0
402,0,2,0,1.0,2,0,1,0,2.0
403,0,3,0,,0,0,1,1,
404,0,3,0,,0,2,1,1,
405,0,2,0,1.0,1,0,1,0,2.0
406,1,1,1,,3,0,3,0,
407,0,3,0,1.0,0,0,1,1,3.0
408,0,3,0,1.0,0,2,1,1,3.0
409,0,3,0,1.0,0,1,1,0,3.0
410,1,2,1,1.0,1,0,2,1,2.0
411,0,3,0,2.0,0,0,1,1,6.0
412,0,3,1,,2,0,2,0,
413,1,3,0,,0,2,1,1,
414,0,3,0,2.0,1,0,1,1,6.0
415,0,2,0,1.0,2,0,1,0,2.0
416,1,3,1,,2,0,3,0,
417,1,3,1,,0,2,2,1,
418,0,3,1,,0,0,2,1,
419,0,1,0,3.0,3,0,1,0,3.0
420,0,2,0,1.0,1,0,1,1,2.0
421,1,3,1,,2,0,3,0,
422,1,3,0,1.0,1,0,1,1,3.0
423,1,1,1,1.0,3,1,3,0,1.0
424,0,1,0,3.0,2,0,1,1,3.0
425,0,3,0,,1,0,1,1,
426,1,1,0,2.0,2,0,1,1,2.0
427,0,3,0,1.0,0,0,1,0,3.0
428,1,3,1,3.0,1,0,3,1,9.0
429,0,3,1,1.0,1,0,3,0,3.0
430,1,2,1,1.0,2,0,3,0,2.0
431,1,3,1,,0,2,2,1,
432,1,3,0,1.0,0,0,1,1,3.0
433,1,2,1,1.0,2,0,2,0,2.0
434,0,3,0,,1,0,1,1,
435,1,1,0,1.0,3,1,1,0,1.0
436,1,1,0,3.0,2,0,5,1,3.0
437,0,3,1,0.0,1,0,2,0,0.0
438,0,2,0,1.0,1,0,1,1,2.0
439,0,3,0,0.0,1,0,1,1,0.0
440,1,2,1,2.0,1,0,2,1,4.0
441,0,3,1,0.0,3,0,2,0,0.0
442,0,3,0,3.0,1,0,1,1,9.0
443,0,3,0,1.0,1,0,1,1,3.0
444,1,2,0,0.0,2,0,4,0,0.0
445,1,3,1,1.0,0,2,2,1,3.0
446,0,3,0,2.0,0,0,1,1,6.0
447,0,3,0,1.0,0,0,1,1,3.0
448,0,3,0,1.0,1,0,1,1,3.0
449,0,2,0,2.0,2,0,1,0,4.0
450,0,3,0,,1,0,1,1,
451,1,1,1,1.0,3,1,2,0,1.0
452,0,3,0,1.0,0,0,1,1,3.0
453,0,2,0,1.0,1,0,1,1,2.0
454,1,1,1,1.0,3,0,2,1,1.0
455,0,3,0,3.0,1,0,1,1,9.0
456,1,1,1,2.0,3,1,3,0,2.0
457,1,2,0,,1,0,1,1,
458,1,1,1,1.0,3,0,2,1,1.0
459,1,3,1,,0,1,3,1,
460,0,3,0,1.0,0,0,1,1,3.0
461,0,2,0,3.0,1,0,1,1,6.0
462,1,3,0,0.0,1,1,4,0,0.0
463,0,2,0,1.0,3,0,5,0,2.0
464,0,3,1,,2,0,2,0,
465,0,3,0,,0,1,1,1,
466,0,3,0,1.0,1,0,1,1,3.0
467,0,3,0,1.0,1,0,1,1,3.0
468,1,2,1,1.0,2,0,3,0,2.0
469,0,3,0,,0,2,1,1,
470,1,1,1,3.0,3,1,3,0,3.0
471,1,3,0,2.0,1,0,1,1,6.0
472,0,1,0,1.0,3,1,1,0,1.0
473,1,1,1,2.0,2,0,3,1,2.0
474,0,3,1,0.0,2,0,2,0,0.0
475,1,1,1,1.0,3,1,2,1,1.0
476,0,3,0,,3,0,4,0,
477,0,2,0,1.0,1,0,1,1,2.0
478,0,2,0,,2,1,1,1,
479,0,3,0,1.0,2,0,1,0,3.0
480,1,3,1,1.0,0,2,2,1,3.0
481,1,1,1,,3,1,3,1,
482,1,1,1,1.0,3,0,2,1,1.0
483,1,3,1,,0,2,2,1,
484,1,3,0,,0,1,1,1,
485,1,2,1,1.0,2,0,3,0,2.0
486,0,3,0,1.0,0,0,1,1,3.0
487,0,3,0,74.0,0,0,1,1,222.0
488,0,2,0,3.0,2,0,5,0,6.0
489,0,3,0,0.0,1,0,1,1,0.0
490,1,3,1,,0,2,2,1,
491,0,1,0,70.0,3,0,5,0,70.0
492,0,3,0,1.0,0,0,1,1,3.0
493,1,2,1,0.0,3,0,2,0,0.0
494,0,3,0,1.0,0,2,1,1,3.0
495,1,2,1,0.0,2,1,3,0,0.0
496,0,2,0,1.0,3,1,1,0,2.0
497,0,3,0,,0,2,1,1,
498,1,3,1,,0,1,3,1,
499,1,1,1,2.0,3,0,3,0,2.0
500,0,2,0,2.0,1,0,1,1,4.0
501,0,2,0,1.0,3,0,1,0,2.0
502,0,2,0,1.0,2,1,1,0,2.0
503,0,3,0,,2,2,1,0,
504,1,1,1,2.0,3,1,2,0,2.0
505,0,3,1,,2,0,2,0,
506,1,3,1,,0,2,2,1,
507,0,3,0,,0,2,1,1,
508,0,3,0,1.0,2,0,1,0,3.0
509,0,3,1,0.0,3,0,2,0,0.0
510,1,3,0,1.0,0,1,1,1,3.0
511,0,3,0,,0,2,1,1,
512,0,3,0,1.0,0,0,1,1,3.0
513,1,3,0,,2,1,4,0,
514,1,1,0,3.0,3,0,5,0,3.0
515,0,3,0,2.0,0,0,1,1,6.0
516,1,2,1,1.0,1,2,2,1,2.0
517,0,3,0,1.0,0,0,1,0,3.0
518,0,3,0,2.0,0,0,1,1,6.0
519,0,3,1,2.0,2,2,3,0,6.0
520,0,3,0,1.0,0,0,1,0,3.0
521,1,1,0,1.0,2,0,1,1,1.0
522,0,1,0,2.0,3,1,1,1,2.0
523,0,3,0,0.0,3,0,4,0,0.0
524,1,3,1,1.0,0,0,2,1,3.0
525,1,2,1,1.0,3,1,3,0,2.0
526,0,3,0,0.0,3,0,4,0,0.0
527,1,3,1,,0,2,2,1,
528,1,1,0,2.0,2,0,1,1,2.0
529,0,3,0,,0,0,1,1,
530,0,3,0,,0,0,1,1,
531,1,2,1,2.0,2,0,3,0,4.0
532,0,3,1,1.0,1,0,2,1,3.0
533,1,1,1,0.0,3,1,2,0,0.0
